transaction_id,chargeback_date,resolution_cost
txn_000000004,2025-01-26 00:11:49+00:00,31.34
txn_000000057,2025-02-24 02:11:44+00:00,9.57
txn_000000123,2025-01-22 05:31:31+00:00,9.8
txn_000000146,2025-01-13 06:25:27+00:00,17.77
txn_000000168,2025-02-05 07:19:28+00:00,16.75
txn_000000299,2025-02-27 12:52:53+00:00,13.75
txn_000000318,2025-01-20 13:33:21+00:00,15.21
txn_000000420,2025-01-18 18:49:30+00:00,18.56
txn_000000482,2025-01-23 22:04:40+00:00,15.81
txn_000000486,2025-01-27 22:18:04+00:00,16.61
txn_000000489,2025-02-11 22:28:26+00:00,8.94
txn_000000525,2025-01-23 00:00:56+00:00,18.98
txn_000000604,2025-02-28 03:34:15+00:00,25.45
txn_000000632,2025-02-27 04:34:36+00:00,10.79
txn_000000635,2025-02-16 04:42:54+00:00,16.0
txn_000000658,2025-02-22 05:27:07+00:00,20.78
txn_000000676,2025-02-11 06:30:57+00:00,13.27
txn_000000755,2025-01-21 09:24:11+00:00,8.66
txn_000000795,2025-02-06 11:11:29+00:00,19.84
txn_000000807,2025-03-02 11:58:47+00:00,17.13
txn_000000846,2025-02-21 13:38:43+00:00,22.95
txn_000000926,2025-01-09 17:10:09+00:00,30.0
txn_000000957,2025-02-13 18:26:34+00:00,9.19
txn_000001021,2025-02-12 21:02:41+00:00,7.05
txn_000001079,2025-02-04 23:36:40+00:00,7.91
txn_000001086,2025-02-04 23:54:32+00:00,10.86
txn_000001089,2025-01-29 23:59:42+00:00,46.07
txn_000001095,2025-02-26 00:16:32+00:00,9.89
txn_000001180,2025-02-12 04:22:08+00:00,18.98
txn_000001192,2025-02-26 04:49:13+00:00,16.23
txn_000001195,2025-01-18 04:53:38+00:00,21.68
txn_000001242,2025-01-23 07:18:25+00:00,16.43
txn_000001257,2025-01-29 07:47:43+00:00,5.11
txn_000001261,2025-02-09 07:53:52+00:00,17.59
txn_000001283,2025-01-22 08:44:14+00:00,9.56
txn_000001398,2025-01-20 13:30:48+00:00,14.25
txn_000001438,2025-01-13 15:31:22+00:00,13.34
txn_000001471,2025-02-02 16:46:56+00:00,12.93
txn_000001487,2025-02-26 17:37:33+00:00,14.4
